Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
20,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1w0ngrj3bf0ruv81ra4w2muj8,2026-01-12 20:00:00,10eyb18v5puw4ez03ocaug09m,true,false,false,true,false,SEV,SEV,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,L 0-1,12,167.00,27.8%,36.1%,17,18,3,61,58,68.7%,51.8%,50.6%,46,25,93,16,93,5.00,42,0,59.3%,3,6,0,48,95,135,88,94,230,3,0,0,0,31.7%,143,0.29,63.6%,20,30,1,3,258,31.2,13.00,-,19.4%,0.0%,22.6%,36.4%,24.6,31.7%,7,28,0
21,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1tethtdduidjywarrz3qiyx3o,2026-01-04 13:00:00,10eyb18v5puw4ez03ocaug09m,true,false,false,true,false,SEV,SEV,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,L 0-3,7,198.00,25.7%,37.1%,25,14,3,72,55,73.3%,56.8%,49.1%,28,21,61,6,61,11.00,61,0,48.8%,4,6,0,39,85,120,84,82,205,2,0,0,0,33.6%,171,1.70,61.9%,24,14,3,8,344,30.7,19.00,-,7.4%,3.7%,33.3%,27.6%,29.7,33.6%,15,28,3
22,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1nc8632r4hii9bl1ygnappkpg,2025-12-20 20:00:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 0-2,37,113.00,8.7%,21.7%,11,18,2,35,57,36.8%,55.0%,66.0%,38,9,55,4,55,11.00,33,0,50.3%,3,8,0,84,154,89,114,45,243,6,0,0,0,29.5%,129,1.56,36.8%,28,20,0,1,384,35.4,13.00,-,20.0%,5.0%,20.0%,10.6%,39.6,29.5%,14,10,3
23,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1lud5oppwm3ngiyzarvb1zoyc,2025-12-14 13:00:00,10eyb18v5puw4ez03ocaug09m,true,false,true,false,false,SEV,SEV,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,W 4-0,13,125.00,25.8%,29.0%,21,15,0,28,48,50.6%,58.5%,64.8%,22,11,32,6,32,6.00,35,0,50.9%,3,9,0,57,108,108,107,52,216,10,4,0,0,33.5%,144,2.03,61.1%,23,18,0,0,336,30.9,18.00,-,18.8%,18.8%,31.3%,89.4%,28.9,33.5%,13,8,3
24,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1ifuis5x6296qke087rpwo5jo,2025-12-07 15:15:00,10eyb18v5puw4ez03ocaug09m,false,true,false,false,true,SEV,SEV,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,D 1-1,21,76.00,31.0%,41.4%,21,15,3,33,31,44.8%,55.2%,68.6%,26,7,35,1,35,4.00,29,0,49.6%,6,9,0,67,128,116,125,52,244,9,1,0,0,36.5%,163,0.29,55.1%,40,13,1,1,198,34.9,14.00,-,17.6%,5.9%,29.4%,50.0%,19.3,36.5%,4,8,1
25,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1eaz7mdny12eiuyeysnycnw2c,2025-11-30 15:15:00,10eyb18v5puw4ez03ocaug09m,true,false,false,true,false,SEV,SEV,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,L 0-2,24,162.00,38.1%,42.9%,19,21,3,45,68,66.7%,61.8%,51.9%,26,13,41,4,41,7.00,53,0,52.8%,7,6,0,57,91,115,73,76,206,9,0,0,0,34.1%,143,0.35,53.2%,29,20,3,1,284,31.3,24.00,-,10.3%,10.3%,24.1%,26.9%,26.6,34.1%,9,16,1
26,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),191yv3mlrk964ybeg2ilya9sk,2025-11-24 20:00:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,L 1-2,19,178.00,36.0%,40.0%,23,22,1,54,66,59.7%,70.8%,55.0%,28,13,61,6,61,21.00,45,0,57.1%,4,4,1,68,114,82,78,50,196,3,1,0,0,30.2%,149,1.82,61.5%,30,23,2,1,381,35.5,18.00,-,20.7%,3.4%,17.2%,18.8%,33.4,30.2%,22,23,1
27,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),17xoblao6gdkidisaddnrpa1g,2025-11-08 15:15:00,10eyb18v5puw4ez03ocaug09m,true,false,true,false,false,SEV,SEV,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,W 1-0,19,126.00,31.4%,40.0%,15,21,3,36,45,42.6%,51.3%,60.8%,26,16,45,2,45,8.00,25,0,56.6%,5,0,0,77,141,113,128,49,254,5,1,0,0,39.3%,127,1.70,54.2%,38,20,2,4,237,35.5,27.00,-,19.2%,19.2%,15.4%,65.4%,25.1,39.3%,10,14,3
28,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),10qg7chtpoj0knqnvx2oduot0,2025-11-01 15:15:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,L 0-3,27,122.00,18.2%,36.4%,13,27,2,35,82,53.2%,52.1%,57.7%,46,15,84,8,84,9.00,21,0,62.9%,6,3,0,107,168,133,143,51,301,7,0,0,0,31.5%,167,0.35,58.2%,44,24,1,2,395,38.9,17.00,-,30.8%,3.8%,11.5%,17.2%,22.5,31.5%,10,8,0
29,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),xcapf185ght9jj3jcgj4v0us,2025-10-24 19:00:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,L 1-2,19,142.00,35.7%,39.3%,16,17,5,50,55,61.7%,59.1%,55.8%,22,16,44,1,44,3.00,52,1,53.0%,4,4,0,61,101,98,85,53,199,6,1,0,0,37.9%,176,0.23,50.0%,34,17,0,0,338,34.2,23.00,-,32.3%,0.0%,22.6%,10.4%,26.3,37.9%,6,15,0
30,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),wlegmdabr8ruispvl8gtzv9w,2025-10-18 12:00:00,10eyb18v5puw4ez03ocaug09m,true,false,false,true,false,SEV,SEV,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,L 1-3,12,138.00,23.8%,38.1%,15,23,2,41,53,56.5%,58.4%,56.6%,25,11,51,6,51,9.00,41,0,56.4%,2,8,0,62,108,109,101,54,217,2,1,0,0,33.4%,138,1.26,58.3%,29,19,2,4,327,34.6,19.00,-,9.5%,9.5%,19.0%,55.5%,26.6,33.4%,13,24,1
31,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),rbyhgw1kyp0ghg2qpvznvvv8,2025-10-05 14:15:00,10eyb18v5puw4ez03ocaug09m,true,false,true,false,false,SEV,SEV,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,W 4-1,30,114.00,13.3%,33.3%,15,24,3,17,32,32.4%,44.2%,61.4%,33,9,45,11,45,7.00,15,0,60.5%,8,7,0,89,152,112,116,59,264,8,3,0,1,39.8%,106,2.76,45.5%,25,17,1,2,133,34.2,14.00,-,29.4%,29.4%,23.5%,76.1%,22.3,39.8%,13,14,5
32,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),nl5iakd17ewjayh3ah21iolw,2025-09-28 12:00:00,10eyb18v5puw4ez03ocaug09m,false,true,true,false,false,SEV,SEV,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,W 1-0,26,89.00,27.0%,29.7%,19,29,1,27,37,34.8%,37.9%,62.4%,18,6,27,3,27,0.00,16,0,51.2%,10,7,0,86,142,150,134,72,292,10,1,0,0,49.3%,138,0.55,54.5%,28,17,1,1,141,33.4,16.00,-,27.3%,18.2%,40.9%,21.4%,18.9,49.3%,4,10,1
33,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),jtywnxc2k08euwiq1ssvws9g,2025-09-23 19:30:00,10eyb18v5puw4ez03ocaug09m,true,false,false,true,false,SEV,SEV,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,L 1-2,26,223.00,32.3%,35.5%,13,23,4,76,78,64.5%,65.2%,54.5%,24,18,55,3,55,13.00,42,0,53.9%,7,8,0,62,114,101,90,63,215,5,1,0,0,30.2%,181,0.97,57.1%,36,29,1,7,356,30.6,33.00,-,14.7%,0.0%,17.6%,31.3%,26.2,30.2%,16,25,1
34,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),e7g814p4n7r5gtpdqewz89p0,2025-09-20 16:30:00,10eyb18v5puw4ez03ocaug09m,false,true,true,false,false,SEV,SEV,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,W 2-1,13,129.00,25.7%,28.6%,20,25,4,31,43,41.4%,60.1%,61.9%,40,11,56,6,56,6.00,32,0,45.9%,2,7,0,73,148,94,116,53,242,4,2,0,0,33.6%,142,0.48,58.9%,41,12,1,1,317,33.8,18.00,-,0.0%,16.0%,40.0%,45.8%,23.1,33.6%,9,12,2
35,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),du8jha9qxukb7ki17m3y3aj8,2025-09-12 19:00:00,10eyb18v5puw4ez03ocaug09m,true,false,false,false,true,SEV,SEV,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,D 2-2,16,205.00,33.3%,44.4%,25,16,7,39,42,65.6%,40.8%,40.1%,24,19,56,5,56,3.00,57,0,54.0%,6,10,0,47,95,131,91,88,226,4,2,0,0,36.5%,143,0.40,72.2%,31,16,6,6,305,27.5,17.00,-,9.7%,6.5%,35.5%,35.7%,26.2,36.5%,7,19,0
36,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),91dd8ia3m0bxoqzjgyo3ptsk,2025-08-30 17:30:00,10eyb18v5puw4ez03ocaug09m,false,true,true,false,false,SEV,SEV,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,W 2-0,43,88.00,27.3%,27.3%,14,18,5,27,36,32.9%,46.9%,67.9%,19,9,24,2,24,8.00,21,0,54.6%,6,6,0,95,166,132,144,59,298,7,2,0,0,33.2%,107,1.32,45.5%,30,13,1,1,232,31.4,10.00,-,11.8%,23.5%,23.5%,63.1%,18.4,33.2%,13,5,2
37,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3677z72kaa3hckjtmi5qnb4k,2025-08-25 19:30:00,10eyb18v5puw4ez03ocaug09m,true,false,false,true,false,SEV,SEV,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,L 1-2,17,186.00,38.1%,40.5%,20,24,3,67,97,74.2%,66.4%,51.1%,23,23,47,4,47,11.00,47,0,57.9%,4,6,0,55,92,96,76,57,188,1,1,0,0,28.1%,150,0.51,67.6%,48,32,6,6,457,33.5,20.00,-,5.9%,5.9%,17.6%,29.4%,26.9,28.1%,12,31,1
38,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),ine2hgzsb0qatru98nl045w,2025-08-17 17:30:00,10eyb18v5puw4ez03ocaug09m,false,true,false,true,false,SEV,SEV,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,L 2-3,29,116.00,31.7%,39.0%,24,32,0,42,58,46.4%,59.4%,63.9%,32,20,53,5,53,8.00,37,0,53.4%,7,4,0,78,151,106,126,53,257,4,1,0,1,32.3%,154,1.01,54.4%,26,17,1,3,270,36.1,17.00,-,24.0%,8.0%,8.0%,9.6%,17.4,32.3%,12,10,0
