Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,PrlgcnesCabza,Presiones AltasP90,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,Goles desde el Area,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
26,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2gtyyqnsw87ojqc60b9b50dn8,2026-02-14 20:00:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,W 4-1,20,184.00,8.3%,16.7%,9,19,3,38,66,1,259.00,54.3%,49.0%,50.4%,46,22,74,9,74,7.00,87,1,42.9%,4,5,0,66,134,125,127,66,259,10,4,4,0,0,26.2%,153,3.12,54.8%,21,22,0,1,471,35.6,15.00,-,8.7%,13.0%,4.3%,87.5%,38.4,26.2%,11,9,5
27,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1m7vig0k2tt5q9apse7108pas,2025-12-14 20:00:00,3kq9cckrnlogidldtdie2fkbl,false,true,true,false,false,RMA,RMA,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,W 2-1,18,146.00,15.2%,27.3%,26,8,4,45,69,0,294.00,54.2%,42.5%,50.8%,28,21,50,4,50,7.00,40,0,54.8%,7,3,0,74,128,166,149,71,294,7,2,2,0,0,27.9%,129,1.83,64.6%,35,17,1,0,302,37.1,26.00,-,20.8%,16.7%,4.2%,58.2%,21.9,27.9%,13,7,2
28,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3ql6gx72pau1cocng395b63h0,2026-05-14 19:30:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,W 2-0,12,221.00,31.6%,36.8%,19,11,5,83,67,2,190.00,76.7%,53.1%,41.6%,21,27,60,2,60,14.00,112,1,55.0%,3,7,0,44,75,115,81,65,190,5,2,2,0,0,26.0%,160,1.36,47.5%,17,20,2,0,432,36.5,21.00,-,24.1%,6.9%,3.4%,68.4%,42.4,26.0%,19,12,2
29,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),jfjnqx2yal5t4pcccve1zg9g,2025-09-23 19:30:00,3kq9cckrnlogidldtdie2fkbl,false,true,true,false,false,RMA,RMA,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,W 4-1,17,212.00,36.7%,56.7%,18,29,7,105,99,1,221.00,70.9%,54.4%,45.4%,38,34,86,5,86,16.00,104,1,54.2%,6,6,1,52,98,123,106,63,221,3,4,3,0,1,27.2%,189,3.94,69.2%,29,35,1,0,463,36.8,26.00,-,19.4%,19.4%,3.2%,69.6%,36.7,27.2%,24,11,6
30,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1c2s2pxxqc6pp652crmn64etw,2025-11-30 20:00:00,3kq9cckrnlogidldtdie2fkbl,false,true,false,false,true,RMA,RMA,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893,D 1-1,15,345.00,44.2%,60.5%,15,19,18,78,59,1,260.00,72.6%,43.3%,32.7%,24,24,70,7,70,18.00,161,0,51.0%,6,8,0,52,109,151,104,104,260,7,1,1,0,0,24.9%,152,2.53,58.6%,24,22,2,1,523,36.6,15.00,-,11.8%,23.5%,2.9%,22.9%,27.7,24.9%,25,26,2
31,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2m4sef2l4im49rda90k3p41lg,2026-03-02 20:00:00,3kq9cckrnlogidldtdie2fkbl,true,false,false,true,false,RMA,RMA,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,L 0-1,13,243.00,36.7%,40.0%,19,21,2,98,106,1,182.00,80.0%,71.8%,42.1%,19,29,74,6,74,14.00,106,0,56.5%,5,2,0,48,85,97,76,58,182,7,0,0,0,0,26.2%,177,1.91,61.5%,36,42,2,2,431,36.6,33.00,-,27.0%,5.4%,2.7%,38.8%,40.1,26.2%,18,33,5
31,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),334grr0hqs8zr92mx518hdjpw,2026-04-04 14:15:00,3kq9cckrnlogidldtdie2fkbl,false,true,false,true,false,RMA,RMA,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181,L 1-2,12,229.00,37.0%,44.4%,18,15,2,84,59,0,198.00,66.6%,61.4%,51.3%,29,21,55,4,55,13.00,66,0,51.5%,6,2,0,50,100,98,89,59,198,2,1,1,0,0,32.0%,182,1.28,71.9%,31,28,1,0,372,37.3,14.00,-,18.9%,2.7%,2.7%,20.6%,29.9,32.0%,15,15,2
33,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),qll7e8qbbmjfzxvwpi96cg0k,2025-10-04 19:00:00,3kq9cckrnlogidldtdie2fkbl,true,false,true,false,false,RMA,RMA,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,W 3-1,11,337.00,27.8%,36.1%,19,22,9,94,96,1,198.00,78.0%,57.3%,35.4%,20,27,79,6,79,17.00,128,1,50.0%,7,4,1,50,89,109,77,71,198,5,3,2,1,0,26.7%,190,3.52,68.2%,34,35,1,3,582,35.5,36.00,-,23.9%,6.5%,2.2%,75.7%,32.8,26.7%,26,16,7
34,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),ahwl5kztusj3oxv74lxw8pas,2025-09-13 14:15:00,3kq9cckrnlogidldtdie2fkbl,false,true,true,false,false,RMA,RMA,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,W 2-1,37,129.00,40.0%,44.0%,14,14,3,29,41,1,282.00,29.2%,46.5%,55.4%,23,8,34,6,34,12.00,27,1,52.3%,4,3,0,126,199,83,107,49,282,15,1,2,0,0,36.6%,115,2.42,64.3%,26,9,1,0,199,35.2,23.00,-,43.8%,12.5%,0.0%,58.6%,19.8,36.6%,16,8,3
34,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),m3rr5kwhsu6s770ey69xad5g,2025-09-27 14:15:00,3kq9cckrnlogidldtdie2fkbl,false,true,false,true,false,RMA,RMA,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,L 2-5,21,165.00,34.6%,53.8%,16,15,1,52,50,1,196.00,67.9%,55.8%,43.2%,17,19,53,4,53,3.00,67,1,49.6%,4,3,0,59,104,92,85,52,196,8,2,1,0,1,27.5%,148,0.66,59.6%,28,17,9,3,331,39.4,24.00,-,22.6%,3.2%,0.0%,17.8%,32.8,27.5%,6,18,2
34,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),uoe12e3coa1i9fov19pdukus,2025-10-19 19:00:00,3kq9cckrnlogidldtdie2fkbl,false,true,true,false,false,RMA,RMA,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,W 1-0,5,234.00,51.4%,73.0%,18,19,3,70,79,1,149.00,82.2%,69.0%,44.6%,31,28,67,6,67,17.00,110,0,45.9%,5,5,0,28,57,92,59,62,149,7,1,1,0,0,26.9%,171,2.30,64.8%,46,21,3,2,345,37.1,26.00,-,18.4%,7.9%,0.0%,52.7%,38.1,26.9%,23,10,3
34,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1ximrnsi0rfciohtjk242p1jo,2025-12-03 18:00:00,3kq9cckrnlogidldtdie2fkbl,false,true,true,false,false,RMA,RMA,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,W 3-0,21,145.00,30.0%,46.7%,20,25,2,64,74,1,246.00,50.3%,70.4%,63.8%,50,23,82,8,82,6.00,53,1,52.3%,8,4,1,91,153,93,105,50,246,10,1,2,1,0,28.9%,185,2.21,69.2%,38,16,2,0,422,37.2,29.00,-,15.8%,10.5%,0.0%,77.8%,30.5,28.9%,13,11,6
34,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),3hj39lcguw2pwxyqlq86jqntg,2026-05-03 19:00:00,3kq9cckrnlogidldtdie2fkbl,false,true,true,false,false,RMA,RMA,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 2-0,21,161.00,18.2%,30.3%,15,18,3,85,65,0,186.00,64.2%,67.9%,57.2%,40,24,68,5,68,9.00,60,0,47.1%,5,5,0,65,93,93,73,48,186,12,2,2,0,0,30.9%,196,2.10,52.1%,23,26,4,2,366,36.8,18.00,-,3.2%,25.8%,0.0%,59.9%,40.8,30.9%,16,20,2
